@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
119,'2023/12/05 09:08:41:329',2,240,?,?
120,'2023/12/05 09:08:41:394',2,240,?,?
121,'2023/12/05 09:08:41:454',2,240,?,?
122,'2023/12/05 09:08:41:506',2,240,?,?
123,'2023/12/05 09:08:41:557',2,240,?,?
124,'2023/12/05 09:08:41:611',2,240,?,?
125,'2023/12/05 09:08:41:664',2,240,?,?
126,'2023/12/05 09:08:41:716',2,240,?,?
127,'2023/12/05 09:08:41:771',2,240,?,?
128,'2023/12/05 09:08:41:833',2,240,?,?
129,'2023/12/05 09:08:41:888',2,240,?,?
130,'2023/12/05 09:08:41:945',2,240,?,?
131,'2023/12/05 09:09:04:029',3,110,?,?
132,'2023/12/05 09:09:04:083',3,110,?,?
133,'2023/12/05 09:09:04:134',3,110,?,?
134,'2023/12/05 09:09:04:190',3,110,?,?
135,'2023/12/05 09:09:04:245',3,110,?,?
136,'2023/12/05 09:09:04:298',3,110,?,?
137,'2023/12/05 09:09:04:355',3,110,?,?
138,'2023/12/05 09:09:04:406',3,110,?,?
139,'2023/12/05 09:09:04:458',3,110,?,?
140,'2023/12/05 09:09:04:507',3,110,?,?
141,'2023/12/05 09:09:04:566',3,110,?,?
142,'2023/12/05 09:09:04:620',3,110,?,?
143,'2023/12/05 09:09:04:668',3,110,?,?
144,'2023/12/05 09:09:04:722',3,110,?,?
145,'2023/12/05 09:09:04:774',3,110,?,?
146,'2023/12/05 09:09:04:839',3,110,?,?
147,'2023/12/05 09:09:04:909',3,110,?,?
148,'2023/12/05 09:09:04:965',3,110,?,?
149,'2023/12/05 09:09:05:018',3,110,?,?
150,'2023/12/05 09:09:05:080',3,110,?,?
151,'2023/12/05 09:09:05:129',3,110,?,?
152,'2023/12/05 09:09:05:190',3,110,?,?
153,'2023/12/05 09:09:05:246',3,110,?,?
154,'2023/12/05 09:09:05:297',3,110,?,?
155,'2023/12/05 09:09:05:353',3,110,?,?
156,'2023/12/05 09:09:05:404',3,110,?,?
157,'2023/12/05 09:09:05:455',3,110,?,?
158,'2023/12/05 09:09:05:507',3,110,?,?
159,'2023/12/05 09:09:05:563',3,110,?,?
160,'2023/12/05 09:09:05:615',3,110,?,?
161,'2023/12/05 09:09:05:669',3,110,?,?
162,'2023/12/05 09:09:05:721',3,110,?,?
