@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
511,'2023/12/05 09:10:03:259',6,-205,?,?
512,'2023/12/05 09:10:03:311',6,-205,?,?
513,'2023/12/05 09:10:03:367',6,-205,?,?
514,'2023/12/05 09:10:03:420',6,-205,?,?
515,'2023/12/05 09:10:03:475',6,-205,?,?
516,'2023/12/05 09:10:03:527',6,-205,?,?
517,'2023/12/05 09:10:03:580',6,-205,?,?
518,'2023/12/05 09:10:03:634',6,-205,?,?
519,'2023/12/05 09:10:03:687',6,-205,?,?
520,'2023/12/05 09:10:03:737',6,-205,?,?
521,'2023/12/05 09:10:03:791',6,-205,?,?
522,'2023/12/05 09:10:03:840',6,-205,?,?
523,'2023/12/05 09:10:03:892',6,-205,?,?
524,'2023/12/05 09:10:03:944',6,-210,?,?
525,'2023/12/05 09:10:03:993',6,-210,?,?
526,'2023/12/05 09:10:04:051',6,-210,?,?
527,'2023/12/05 09:10:04:103',6,-215,?,?
528,'2023/12/05 09:10:04:159',6,-215,?,?
529,'2023/12/05 09:10:04:211',6,-220,?,?
530,'2023/12/05 09:10:04:269',6,-220,?,?
531,'2023/12/05 09:10:04:325',6,-220,?,?
532,'2023/12/05 09:10:04:382',6,-225,?,?
533,'2023/12/05 09:10:04:434',6,-225,?,?
534,'2023/12/05 09:10:04:488',6,-225,?,?
535,'2023/12/05 09:10:04:539',6,-230,?,?
536,'2023/12/05 09:10:04:594',6,-230,?,?
537,'2023/12/05 09:10:04:644',6,-235,?,?
538,'2023/12/05 09:10:04:696',6,-235,?,?
539,'2023/12/05 09:10:04:757',6,-235,?,?
540,'2023/12/05 09:10:04:806',6,-240,?,?
541,'2023/12/05 09:10:04:860',6,-240,?,?
542,'2023/12/05 09:10:04:914',6,-240,?,?
543,'2023/12/05 09:10:04:966',6,-245,?,?
544,'2023/12/05 09:10:05:024',6,-245,?,?
545,'2023/12/05 09:10:05:075',6,-250,?,?
546,'2023/12/05 09:10:05:128',6,-250,?,?
547,'2023/12/05 09:10:05:179',6,-250,?,?
548,'2023/12/05 09:10:05:237',6,-255,?,?
549,'2023/12/05 09:10:05:288',6,-255,?,?
550,'2023/12/05 09:10:05:345',6,-255,?,?
551,'2023/12/05 09:10:05:402',6,-260,?,?
552,'2023/12/05 09:10:05:457',6,-260,?,?
553,'2023/12/05 09:10:05:508',6,-265,?,?
554,'2023/12/05 09:10:05:562',6,-265,?,?
555,'2023/12/05 09:10:05:613',6,-265,?,?
556,'2023/12/05 09:10:05:671',6,-270,?,?
557,'2023/12/05 09:10:05:718',6,-270,?,?
558,'2023/12/05 09:10:05:777',6,-275,?,?
559,'2023/12/05 09:10:05:831',6,-275,?,?
560,'2023/12/05 09:10:05:884',6,-280,?,?
561,'2023/12/05 09:10:05:940',6,-280,?,?
562,'2023/12/05 09:10:06:000',6,-280,?,?
563,'2023/12/05 09:10:06:053',6,-280,?,?
564,'2023/12/05 09:10:06:101',6,-280,?,?
565,'2023/12/05 09:10:06:160',6,-280,?,?
566,'2023/12/05 09:10:06:209',6,-280,?,?
567,'2023/12/05 09:10:06:269',6,-280,?,?
568,'2023/12/05 09:10:06:319',6,-280,?,?
569,'2023/12/05 09:10:06:374',6,-280,?,?
570,'2023/12/05 09:10:06:427',6,-280,?,?
571,'2023/12/05 09:10:06:484',6,-280,?,?
572,'2023/12/05 09:10:06:541',6,-280,?,?
573,'2023/12/05 09:10:06:598',6,-280,?,?
574,'2023/12/05 09:10:06:649',6,-280,?,?
575,'2023/12/05 09:10:06:707',6,-280,?,?
576,'2023/12/05 09:10:06:768',6,-280,?,?
577,'2023/12/05 09:10:06:814',6,-280,?,?
578,'2023/12/05 09:10:06:877',6,-280,?,?
579,'2023/12/05 09:10:06:925',6,-280,?,?
580,'2023/12/05 09:10:06:983',6,-280,?,?
581,'2023/12/05 09:10:07:046',6,-280,?,?
582,'2023/12/05 09:10:07:098',6,-280,?,?
583,'2023/12/05 09:10:07:151',6,-280,?,?
584,'2023/12/05 09:10:07:206',6,-280,?,?
585,'2023/12/05 09:10:07:256',6,-280,?,?
586,'2023/12/05 09:10:07:313',6,-280,?,?
587,'2023/12/05 09:10:07:365',6,-280,?,?
588,'2023/12/05 09:10:07:419',6,-280,?,?
589,'2023/12/05 09:10:07:473',6,-280,?,?
590,'2023/12/05 09:10:07:531',6,-280,?,?
591,'2023/12/05 09:10:07:594',6,-280,?,?
592,'2023/12/05 09:10:07:636',6,-280,?,?
593,'2023/12/05 09:10:07:689',6,-280,?,?
594,'2023/12/05 09:10:07:746',6,-280,?,?
595,'2023/12/05 09:10:07:801',6,-280,?,?
596,'2023/12/05 09:10:07:850',6,-280,?,?
597,'2023/12/05 09:10:07:907',6,-280,?,?
598,'2023/12/05 09:10:07:964',6,-280,?,?
599,'2023/12/05 09:10:08:015',6,-280,?,?
600,'2023/12/05 09:10:08:063',6,-280,?,?
601,'2023/12/05 09:10:08:119',6,-280,?,?
602,'2023/12/05 09:10:08:170',6,-280,?,?
603,'2023/12/05 09:10:08:225',6,-280,?,?
604,'2023/12/05 09:10:08:278',6,-280,?,?
605,'2023/12/05 09:10:08:340',6,-280,?,?
606,'2023/12/05 09:10:08:389',6,-280,?,?
607,'2023/12/05 09:10:08:442',6,-280,?,?
608,'2023/12/05 09:10:08:490',6,-280,?,?
609,'2023/12/05 09:10:08:540',6,-280,?,?
610,'2023/12/05 09:10:08:591',6,-280,?,?
611,'2023/12/05 09:10:08:644',6,-280,?,?
612,'2023/12/05 09:10:08:700',6,-280,?,?
613,'2023/12/05 09:10:08:751',6,-280,?,?
614,'2023/12/05 09:10:08:805',6,-280,?,?
615,'2023/12/05 09:10:08:864',6,-280,?,?
616,'2023/12/05 09:10:08:919',6,-280,?,?
617,'2023/12/05 09:10:08:974',6,-280,?,?
618,'2023/12/05 09:10:09:025',6,-280,?,?
619,'2023/12/05 09:10:09:093',6,-280,?,?
620,'2023/12/05 09:10:09:148',6,-280,?,?
621,'2023/12/05 09:10:09:203',6,-280,?,?
622,'2023/12/05 09:10:09:256',6,-280,?,?
623,'2023/12/05 09:10:09:310',6,-280,?,?
624,'2023/12/05 09:10:09:365',6,-280,?,?
625,'2023/12/05 09:10:09:422',6,-280,?,?
626,'2023/12/05 09:10:09:477',6,-280,?,?
627,'2023/12/05 09:10:09:528',6,-280,?,?
628,'2023/12/05 09:10:09:585',6,-280,?,?
629,'2023/12/05 09:10:09:638',6,-280,?,?
630,'2023/12/05 09:10:09:692',6,-280,?,?
631,'2023/12/05 09:10:09:749',6,-280,?,?
632,'2023/12/05 09:10:09:808',6,-280,?,?
633,'2023/12/05 09:10:09:862',6,-280,?,?
634,'2023/12/05 09:10:09:913',6,-280,?,?
635,'2023/12/05 09:10:09:969',6,-280,?,?
636,'2023/12/05 09:10:10:020',6,-280,?,?
637,'2023/12/05 09:10:10:069',6,-280,?,?
638,'2023/12/05 09:10:10:125',6,-280,?,?
639,'2023/12/05 09:10:10:179',6,-280,?,?
640,'2023/12/05 09:10:10:229',6,-280,?,?
641,'2023/12/05 09:10:10:280',6,-280,?,?
642,'2023/12/05 09:10:10:332',6,-280,?,?
643,'2023/12/05 09:10:10:397',6,-280,?,?
644,'2023/12/05 09:10:10:460',6,-280,?,?
645,'2023/12/05 09:10:10:511',6,-280,?,?
646,'2023/12/05 09:10:10:570',6,-280,?,?
647,'2023/12/05 09:10:10:622',6,-280,?,?
648,'2023/12/05 09:10:10:674',6,-280,?,?
649,'2023/12/05 09:10:10:729',6,-280,?,?
650,'2023/12/05 09:10:10:780',6,-280,?,?
651,'2023/12/05 09:10:10:836',6,-280,?,?
652,'2023/12/05 09:10:10:884',6,-280,?,?
653,'2023/12/05 09:10:10:940',6,-280,?,?
654,'2023/12/05 09:10:10:994',6,-280,?,?
655,'2023/12/05 09:10:11:056',6,-280,?,?
656,'2023/12/05 09:10:11:106',6,-280,?,?
657,'2023/12/05 09:10:11:155',6,-280,?,?
658,'2023/12/05 09:10:11:211',6,-280,?,?
659,'2023/12/05 09:10:11:267',6,-280,?,?
660,'2023/12/05 09:10:11:318',6,-280,?,?
661,'2023/12/05 09:10:11:383',6,-280,?,?
662,'2023/12/05 09:10:11:432',6,-280,?,?
663,'2023/12/05 09:10:11:482',6,-280,?,?
664,'2023/12/05 09:10:11:539',6,-280,?,?
665,'2023/12/05 09:14:06:470',7,275,0,0
666,'2023/12/05 09:14:06:522',7,275,0,0
667,'2023/12/05 09:14:06:573',7,275,0,0
668,'2023/12/05 09:14:06:626',7,275,0,0
669,'2023/12/05 09:14:06:691',7,275,0,0
670,'2023/12/05 09:14:06:753',7,275,0,0
671,'2023/12/05 09:14:06:805',7,275,0,0
672,'2023/12/05 09:14:06:858',7,275,0,0
673,'2023/12/05 09:14:06:912',7,275,0,0
674,'2023/12/05 09:14:06:962',7,275,0,0
675,'2023/12/05 09:14:07:011',7,275,0,0
676,'2023/12/05 09:14:07:063',7,275,0,0
677,'2023/12/05 09:14:07:113',7,275,0,0
678,'2023/12/05 09:14:07:168',7,275,0,0
679,'2023/12/05 09:14:07:231',7,275,0,0
680,'2023/12/05 09:14:07:299',7,275,0,0
681,'2023/12/05 09:14:07:364',7,275,0,0
682,'2023/12/05 09:14:07:424',7,275,0,0
683,'2023/12/05 09:14:07:473',7,275,0,0
684,'2023/12/05 09:14:07:540',7,275,0,0
685,'2023/12/05 09:14:07:579',7,275,0,0
686,'2023/12/05 09:14:07:645',7,275,0,0
687,'2023/12/05 09:14:07:699',7,275,0,0
688,'2023/12/05 09:14:07:768',7,275,0,0
689,'2023/12/05 09:14:07:814',7,275,0,0
690,'2023/12/05 09:14:07:868',7,275,0,0
691,'2023/12/05 09:14:07:922',7,275,0,0
692,'2023/12/05 09:14:07:970',7,275,0,0
693,'2023/12/05 09:14:08:029',7,275,0,0
694,'2023/12/05 09:14:08:087',7,275,0,0
695,'2023/12/05 09:14:08:139',7,275,0,0
696,'2023/12/05 09:14:08:191',7,275,0,0
697,'2023/12/05 09:14:08:246',7,275,0,0
698,'2023/12/05 09:14:08:295',7,275,0,0
699,'2023/12/05 09:14:08:349',7,275,0,0
700,'2023/12/05 09:14:08:401',7,275,0,0
701,'2023/12/05 09:14:08:449',7,275,0,0
702,'2023/12/05 09:14:08:508',7,275,0,0
703,'2023/12/05 09:14:08:560',7,275,0,0
704,'2023/12/05 09:14:08:612',7,275,0,0
705,'2023/12/05 09:14:08:667',7,275,0,0
706,'2023/12/05 09:14:08:720',7,275,0,0
707,'2023/12/05 09:14:08:775',7,275,0,0
708,'2023/12/05 09:14:08:826',7,275,0,0
709,'2023/12/05 09:14:08:879',7,275,0,0
710,'2023/12/05 09:14:08:932',7,275,0,0
711,'2023/12/05 09:14:08:986',7,275,0,0
712,'2023/12/05 09:14:09:041',7,275,0,0
713,'2023/12/05 09:14:09:095',7,275,0,0
714,'2023/12/05 09:14:09:146',7,275,0,0
715,'2023/12/05 09:14:09:197',7,275,0,0
716,'2023/12/05 09:14:09:249',7,275,0,0
717,'2023/12/05 09:14:09:303',7,275,0,0
718,'2023/12/05 09:14:09:356',7,275,0,0
719,'2023/12/05 09:14:09:409',7,275,0,0
720,'2023/12/05 09:14:09:464',7,275,0,0
721,'2023/12/05 09:14:09:519',7,275,0,0
722,'2023/12/05 09:14:09:571',7,275,0,0
723,'2023/12/05 09:14:09:622',7,275,0,0
724,'2023/12/05 09:14:09:670',7,275,0,0
725,'2023/12/05 09:14:09:725',7,275,0,0
726,'2023/12/05 09:14:09:777',7,275,0,0
727,'2023/12/05 09:14:09:841',7,275,0,0
728,'2023/12/05 09:14:09:899',7,275,0,0
729,'2023/12/05 09:14:09:948',7,275,0,0
730,'2023/12/05 09:14:10:001',7,275,0,0
731,'2023/12/05 09:14:10:057',7,275,0,0
732,'2023/12/05 09:14:29:698',8,195,0,0.5
733,'2023/12/05 09:14:29:749',8,195,0,0.5
734,'2023/12/05 09:14:29:803',8,195,0,0.5
735,'2023/12/05 09:14:29:863',8,195,0,0.5
736,'2023/12/05 09:14:29:913',8,195,0,0.5
737,'2023/12/05 09:14:29:964',8,195,0,0.5
738,'2023/12/05 09:14:30:016',8,195,0,0.5
739,'2023/12/05 09:14:30:066',8,195,0,0.5
740,'2023/12/05 09:14:30:120',8,195,0,0.5
741,'2023/12/05 09:14:30:178',8,195,0,0.5
742,'2023/12/05 09:14:30:227',8,195,0,0.5
743,'2023/12/05 09:14:30:283',8,195,0,0.5
744,'2023/12/05 09:14:30:333',8,195,0,0.5
745,'2023/12/05 09:14:30:392',8,195,0,0.5
746,'2023/12/05 09:14:30:447',8,195,0,0.5
747,'2023/12/05 09:14:30:502',8,195,0,0.5
748,'2023/12/05 09:14:30:551',8,195,0,0.5
749,'2023/12/05 09:14:30:606',8,195,0,0.5
750,'2023/12/05 09:14:30:662',8,195,0,0.5
751,'2023/12/05 09:14:30:715',8,195,0,0.5
752,'2023/12/05 09:14:30:770',8,195,0,0.5
753,'2023/12/05 09:14:30:823',8,195,0,0.5
754,'2023/12/05 09:14:30:882',8,195,0,0.5
755,'2023/12/05 09:14:30:945',8,195,0,0.5
756,'2023/12/05 09:14:30:995',8,195,0,0.5
757,'2023/12/05 09:14:31:048',8,195,0,0.5
758,'2023/12/05 09:14:31:105',8,195,0,0.5
759,'2023/12/05 09:14:31:164',8,195,0,0.5
760,'2023/12/05 09:14:31:213',8,195,0,0.5
761,'2023/12/05 09:14:31:267',8,195,0,0.5
762,'2023/12/05 09:14:31:318',8,195,0,0.5
763,'2023/12/05 09:14:31:375',8,195,0,0.5
764,'2023/12/05 09:14:31:431',8,195,0,0.5
765,'2023/12/05 09:14:31:482',8,195,0,0.5
766,'2023/12/05 09:14:31:555',8,195,0,0.5
767,'2023/12/05 09:14:31:597',8,195,0,0.5
768,'2023/12/05 09:14:31:651',8,195,0,0.5
769,'2023/12/05 09:14:31:699',8,195,0,0.5
770,'2023/12/05 09:14:31:752',8,195,0,0.5
771,'2023/12/05 09:14:31:808',8,195,0,0.5
772,'2023/12/05 09:14:31:855',8,195,0,0.5
773,'2023/12/05 09:14:31:906',8,195,0,0.5
774,'2023/12/05 09:14:31:960',8,195,0,0.5
775,'2023/12/05 09:14:32:015',8,195,0,0.5
776,'2023/12/05 09:14:32:072',8,195,0,0.5
777,'2023/12/05 09:14:32:124',8,195,0,0.5
778,'2023/12/05 09:14:32:180',8,195,0,0.5
779,'2023/12/05 09:14:32:237',8,195,0,0.5
780,'2023/12/05 09:14:32:288',8,195,0,0.5
781,'2023/12/05 09:14:32:345',8,195,0,0.5
782,'2023/12/05 09:14:32:392',8,195,0,0.5
783,'2023/12/05 09:14:32:441',8,195,0,0.5
784,'2023/12/05 09:14:32:496',8,195,0,0.5
785,'2023/12/05 09:14:32:550',8,195,0,0.5
786,'2023/12/05 09:14:32:602',8,195,0,0.5
787,'2023/12/05 09:14:32:664',8,195,0,0.5
788,'2023/12/05 09:14:44:604',9,120,0.31,1
789,'2023/12/05 09:14:44:656',9,120,0.31,1
790,'2023/12/05 09:14:44:712',9,120,0.31,1
791,'2023/12/05 09:14:44:769',9,120,0.31,1
792,'2023/12/05 09:14:44:829',9,120,0.31,1
793,'2023/12/05 09:14:44:893',9,120,0.31,1
794,'2023/12/05 09:14:44:954',9,120,0.31,1
795,'2023/12/05 09:14:45:006',9,120,0.31,1
796,'2023/12/05 09:14:45:061',9,120,0.31,1
797,'2023/12/05 09:14:45:111',9,120,0.31,1
798,'2023/12/05 09:14:45:163',9,120,0.31,1
799,'2023/12/05 09:14:45:217',9,120,0.31,1
800,'2023/12/05 09:14:45:266',9,120,0.31,1
801,'2023/12/05 09:14:45:317',9,120,0.31,1
802,'2023/12/05 09:14:45:369',9,120,0.31,1
803,'2023/12/05 09:14:45:422',9,120,0.31,1
804,'2023/12/05 09:14:45:486',9,120,0.31,1
805,'2023/12/05 09:14:45:537',9,120,0.31,1
806,'2023/12/05 09:14:45:589',9,120,0.31,1
807,'2023/12/05 09:14:45:639',9,120,0.31,1
808,'2023/12/05 09:14:45:700',9,120,0.31,1
809,'2023/12/05 09:14:45:760',9,120,0.31,1
810,'2023/12/05 09:14:45:835',9,120,0.31,1
811,'2023/12/05 09:14:45:889',9,120,0.31,1
812,'2023/12/05 09:14:45:942',9,120,0.31,1
813,'2023/12/05 09:14:45:993',9,120,0.31,1
814,'2023/12/05 09:14:46:044',9,120,0.31,1
815,'2023/12/05 09:14:46:098',9,120,0.31,1
816,'2023/12/05 09:14:46:147',9,120,0.31,1
817,'2023/12/05 09:14:46:203',9,120,0.31,1
818,'2023/12/05 09:14:46:256',9,120,0.31,1
819,'2023/12/05 09:14:46:308',9,120,0.31,1
820,'2023/12/05 09:14:46:359',9,120,0.31,1
821,'2023/12/05 09:14:46:417',9,120,0.31,1
822,'2023/12/05 09:14:46:481',9,120,0.31,1
823,'2023/12/05 09:14:46:529',9,120,0.31,1
824,'2023/12/05 09:14:46:593',9,120,0.31,1
825,'2023/12/05 09:14:46:671',9,120,0.31,1
826,'2023/12/05 09:14:46:743',9,120,0.31,1
827,'2023/12/05 09:14:46:802',9,120,0.31,1
828,'2023/12/05 09:14:46:855',9,120,0.31,1
829,'2023/12/05 09:14:46:909',9,120,0.31,1
830,'2023/12/05 09:14:46:967',9,120,0.31,1
831,'2023/12/05 09:14:47:016',9,120,0.31,1
832,'2023/12/05 09:14:47:067',9,120,0.31,1
833,'2023/12/05 09:14:47:120',9,120,0.31,1
834,'2023/12/05 09:14:47:172',9,120,0.31,1
835,'2023/12/05 09:14:47:227',9,120,0.31,1
836,'2023/12/05 09:14:47:277',9,120,0.31,1
837,'2023/12/05 09:14:47:332',9,120,0.31,1
838,'2023/12/05 09:14:47:389',9,120,0.31,1
839,'2023/12/05 09:14:47:453',9,120,0.31,1
840,'2023/12/05 09:14:47:510',9,120,0.31,1
841,'2023/12/05 09:14:47:559',9,120,0.31,1
842,'2023/12/05 09:14:47:609',9,120,0.31,1
843,'2023/12/05 09:14:47:664',9,120,0.31,1
844,'2023/12/05 09:14:47:723',9,120,0.31,1
845,'2023/12/05 09:14:47:788',9,120,0.31,1
846,'2023/12/05 09:14:47:838',9,120,0.31,1
847,'2023/12/05 09:14:47:893',9,120,0.31,1
848,'2023/12/05 09:14:47:942',9,120,0.31,1
849,'2023/12/05 09:14:48:006',9,120,0.31,1
850,'2023/12/05 09:14:48:068',9,120,0.31,1
851,'2023/12/05 09:14:48:124',9,120,0.31,1
852,'2023/12/05 09:14:48:187',9,120,0.31,1
853,'2023/12/05 09:14:48:253',9,120,0.31,1
854,'2023/12/05 09:14:48:324',9,120,0.31,1
855,'2023/12/05 09:14:48:378',9,120,0.31,1
856,'2023/12/05 09:14:48:434',9,120,0.31,1
857,'2023/12/05 09:14:48:494',9,120,0.31,1
858,'2023/12/05 09:14:48:547',9,120,0.31,1
859,'2023/12/05 09:14:48:601',9,120,0.31,1
860,'2023/12/05 09:14:48:653',9,120,0.31,1
861,'2023/12/05 09:14:48:705',9,120,0.31,1
862,'2023/12/05 09:14:48:766',9,120,0.31,1
863,'2023/12/05 09:14:48:822',9,120,0.31,1
864,'2023/12/05 09:14:48:875',9,120,0.31,1
865,'2023/12/05 09:14:48:941',9,120,0.31,1
866,'2023/12/05 09:14:48:994',9,120,0.31,1
867,'2023/12/05 09:14:49:051',9,120,0.31,1
868,'2023/12/05 09:14:49:101',9,120,0.31,1
869,'2023/12/05 09:14:49:150',9,120,0.31,1
870,'2023/12/05 09:14:49:205',9,120,0.31,1
871,'2023/12/05 09:14:49:266',9,120,0.31,1
872,'2023/12/05 09:14:49:325',9,120,0.31,1
873,'2023/12/05 09:14:49:373',9,120,0.31,1
874,'2023/12/05 09:14:49:427',9,120,0.31,1
875,'2023/12/05 09:14:49:485',9,120,0.31,1
876,'2023/12/05 09:14:49:532',9,120,0.31,1
877,'2023/12/05 09:14:49:590',9,120,0.31,1
878,'2023/12/05 09:14:49:649',9,120,0.31,1
879,'2023/12/05 09:14:49:703',9,120,0.31,1
880,'2023/12/05 09:14:49:766',9,120,0.31,1
881,'2023/12/05 09:14:49:824',9,120,0.31,1
882,'2023/12/05 09:14:58:623',10,20,1,1
883,'2023/12/05 09:14:58:674',10,20,1,1
884,'2023/12/05 09:14:58:734',10,20,1,1
885,'2023/12/05 09:14:58:786',10,20,1,1
886,'2023/12/05 09:14:58:838',10,20,1,1
887,'2023/12/05 09:14:58:912',10,20,1,1
888,'2023/12/05 09:14:58:956',10,20,1,1
889,'2023/12/05 09:14:59:010',10,20,1,1
890,'2023/12/05 09:14:59:069',10,20,1,1
891,'2023/12/05 09:14:59:120',10,20,1,1
892,'2023/12/05 09:14:59:169',10,20,1,1
893,'2023/12/05 09:14:59:231',10,20,1,1
894,'2023/12/05 09:14:59:280',10,20,1,1
895,'2023/12/05 09:14:59:341',10,20,1,1
896,'2023/12/05 09:14:59:387',10,20,1,1
897,'2023/12/05 09:14:59:439',10,20,1,1
898,'2023/12/05 09:14:59:494',10,20,1,1
899,'2023/12/05 09:14:59:545',10,20,1,1
900,'2023/12/05 09:14:59:597',10,20,1,1
901,'2023/12/05 09:14:59:643',10,20,1,1
902,'2023/12/05 09:14:59:695',10,20,1,1
903,'2023/12/05 09:14:59:750',10,20,1,1
904,'2023/12/05 09:14:59:814',10,20,1,1
905,'2023/12/05 09:14:59:874',10,20,1,1
906,'2023/12/05 09:14:59:925',10,20,1,1
907,'2023/12/05 09:14:59:982',10,20,1,1
908,'2023/12/05 09:15:00:030',10,20,1,1
909,'2023/12/05 09:15:00:081',10,20,1,1
910,'2023/12/05 09:15:00:136',10,20,1,1
911,'2023/12/05 09:15:00:187',10,20,1,1
912,'2023/12/05 09:15:00:239',10,20,1,1
913,'2023/12/05 09:15:00:292',10,20,1,1
914,'2023/12/05 09:15:00:348',10,20,1,1
915,'2023/12/05 09:15:00:406',10,20,1,1
916,'2023/12/05 09:15:00:456',10,20,1,1
917,'2023/12/05 09:15:00:507',10,20,1,1
918,'2023/12/05 09:15:00:559',10,20,1,1
919,'2023/12/05 09:15:00:611',10,20,1,1
920,'2023/12/05 09:15:00:663',10,20,1,1
921,'2023/12/05 09:15:00:714',10,20,1,1
922,'2023/12/05 09:15:00:765',10,20,1,1
923,'2023/12/05 09:15:00:817',10,20,1,1
924,'2023/12/05 09:15:00:880',10,20,1,1
925,'2023/12/05 09:15:00:936',10,20,1,1
926,'2023/12/05 09:15:00:988',10,20,1,1
927,'2023/12/05 09:15:01:045',10,20,1,1
928,'2023/12/05 09:15:01:097',10,20,1,1
929,'2023/12/05 09:15:01:149',10,20,1,1
930,'2023/12/05 09:15:01:200',10,20,1,1
931,'2023/12/05 09:15:01:248',10,20,1,1
932,'2023/12/05 09:15:01:305',10,20,1,1
933,'2023/12/05 09:15:01:357',10,20,1,1
934,'2023/12/05 09:15:01:406',10,20,1,1
935,'2023/12/05 09:15:01:461',10,20,1,1
936,'2023/12/05 09:15:01:518',10,20,1,1
937,'2023/12/05 09:15:01:571',10,20,1,1
938,'2023/12/05 09:15:01:622',10,20,1,1
939,'2023/12/05 09:15:01:679',10,20,1,1
940,'2023/12/05 09:15:01:730',10,20,1,1
941,'2023/12/05 09:15:01:784',10,20,1,1
942,'2023/12/05 09:15:01:836',10,20,1,1
943,'2023/12/05 09:15:01:892',10,20,1,1
944,'2023/12/05 09:15:01:945',10,20,1,1
945,'2023/12/05 09:15:01:995',10,20,1,1
946,'2023/12/05 09:15:02:053',10,20,1,1
947,'2023/12/05 09:15:02:101',10,20,1,1
948,'2023/12/05 09:15:02:157',10,20,1,1
949,'2023/12/05 09:15:02:213',10,20,1,1
950,'2023/12/05 09:15:02:267',10,20,1,1
951,'2023/12/05 09:15:02:327',10,20,1,1
952,'2023/12/05 09:15:02:376',10,20,1,1
953,'2023/12/05 09:15:02:437',10,20,1,1
954,'2023/12/05 09:15:02:490',10,20,1,1
955,'2023/12/05 09:15:02:547',10,20,1,1
956,'2023/12/05 09:15:02:601',10,20,1,1
957,'2023/12/05 09:15:02:658',10,20,1,1
958,'2023/12/05 09:15:02:712',10,20,1,1
959,'2023/12/05 09:15:02:760',10,20,1,1
960,'2023/12/05 09:15:02:821',10,20,1,1
961,'2023/12/05 09:15:02:871',10,20,1,1
962,'2023/12/05 09:15:02:924',10,20,1,1
963,'2023/12/05 09:15:02:976',10,20,1,1
964,'2023/12/05 09:15:03:027',10,20,1,1
965,'2023/12/05 09:15:03:087',10,20,1,1
966,'2023/12/05 09:15:03:140',10,20,1,1
967,'2023/12/05 09:15:03:196',10,20,1,1
968,'2023/12/05 09:15:03:249',10,20,1,1
969,'2023/12/05 09:15:03:305',10,20,1,1
970,'2023/12/05 09:15:03:361',10,20,1,1
971,'2023/12/05 09:15:03:409',10,20,1,1
972,'2023/12/05 09:15:16:004',11,-85,1,0.51
973,'2023/12/05 09:15:16:057',11,-85,1,0.51
974,'2023/12/05 09:15:16:114',11,-85,1,0.51
975,'2023/12/05 09:15:16:171',11,-85,1,0.51
976,'2023/12/05 09:15:16:224',11,-85,1,0.51
977,'2023/12/05 09:15:16:286',11,-85,1,0.51
978,'2023/12/05 09:15:16:337',11,-85,1,0.51
979,'2023/12/05 09:15:16:391',11,-85,1,0.51
980,'2023/12/05 09:15:16:451',11,-85,1,0.51
981,'2023/12/05 09:15:16:506',11,-85,1,0.51
982,'2023/12/05 09:15:16:562',11,-85,1,0.51
983,'2023/12/05 09:15:16:625',11,-85,1,0.51
984,'2023/12/05 09:15:16:675',11,-85,1,0.51
985,'2023/12/05 09:15:16:729',11,-85,1,0.51
986,'2023/12/05 09:15:16:781',11,-85,1,0.51
987,'2023/12/05 09:15:16:832',11,-85,1,0.51
988,'2023/12/05 09:15:16:887',11,-85,1,0.51
989,'2023/12/05 09:15:16:939',11,-85,1,0.51
990,'2023/12/05 09:15:16:993',11,-85,1,0.51
991,'2023/12/05 09:15:17:052',11,-85,1,0.51
992,'2023/12/05 09:15:17:101',11,-85,1,0.51
993,'2023/12/05 09:15:17:149',11,-85,1,0.51
994,'2023/12/05 09:15:17:206',11,-85,1,0.51
995,'2023/12/05 09:15:17:263',11,-85,1,0.51
996,'2023/12/05 09:15:17:313',11,-85,1,0.51
997,'2023/12/05 09:15:17:378',11,-85,1,0.51
998,'2023/12/05 09:15:17:423',11,-85,1,0.51
999,'2023/12/05 09:15:17:475',11,-85,1,0.51
1000,'2023/12/05 09:15:17:530',11,-85,1,0.51
1001,'2023/12/05 09:15:17:586',11,-85,1,0.51
1002,'2023/12/05 09:15:17:637',11,-85,1,0.51
1003,'2023/12/05 09:15:17:695',11,-85,1,0.51
1004,'2023/12/05 09:15:17:748',11,-85,1,0.51
1005,'2023/12/05 09:15:17:799',11,-85,1,0.51
1006,'2023/12/05 09:15:17:855',11,-85,1,0.51
1007,'2023/12/05 09:15:17:906',11,-85,1,0.51
1008,'2023/12/05 09:15:17:956',11,-85,1,0.51
1009,'2023/12/05 09:15:18:012',11,-85,1,0.51
1010,'2023/12/05 09:15:18:073',11,-85,1,0.51
1011,'2023/12/05 09:15:18:124',11,-85,1,0.51
1012,'2023/12/05 09:15:18:184',11,-85,1,0.51
1013,'2023/12/05 09:15:18:234',11,-85,1,0.51
1014,'2023/12/05 09:15:18:287',11,-85,1,0.51
1015,'2023/12/05 09:15:18:338',11,-85,1,0.51
1016,'2023/12/05 09:15:18:396',11,-85,1,0.51
1017,'2023/12/05 09:15:18:446',11,-85,1,0.51
1018,'2023/12/05 09:15:18:502',11,-85,1,0.51
1019,'2023/12/05 09:15:18:554',11,-85,1,0.51
1020,'2023/12/05 09:15:18:606',11,-85,1,0.51
